league,season,match_id,match_date,team_id,team,side,mslb,regime,dD_base,dD_after_aging,dD_final,abs_dD_base,abs_dD_after_aging,abs_dD_final,dS,dP_fav,dP_x,dP_dog,abs_dah,abs_dtot,month
Ligue 1,2024-25,8258,2025-04-13,104,Montpellier,away,29,stable,-0.5701005679412263,-0.2467669304584869,-0.12134526638863741,0.5701005679412263,0.2467669304584869,0.12134526638863741,0.0784931541150935,-4.344723077340523,0.08957385964003528,4.255149217700488,0.0,0.0,4
Ligue 1,2024-25,8259,2025-04-13,84,Le Havre,home,29,stable,0.07948336659138744,0.2805707793237988,0.3261101007791941,0.07948336659138744,0.2805707793237988,0.3261101007791941,-0.11990116186010624,6.556583881982675,-1.0119151901335166,-5.544668691849178,0.25,0.25,4
Ligue 1,2024-25,8259,2025-04-13,79,Rennes,away,29,stable,0.07948336659138744,0.2805707793237988,0.3261101007791941,0.07948336659138744,0.2805707793237988,0.3261101007791941,-0.11990116186010624,6.556583881982675,-1.0119151901335166,-5.544668691849178,0.25,0.25,4
Ligue 1,2024-25,8260,2025-04-13,91,Auxerre,home,30,stable,-0.25440663422546717,-0.27139859213836814,-0.14502560699660205,0.25440663422546717,0.27139859213836814,0.14502560699660205,-0.10666119196244139,-4.707996331492481,0.21754172921752135,4.490454602274954,0.25,0.0,4
Ligue 1,2024-25,8260,2025-04-13,82,Lyon,away,29,stable,-0.25440663422546717,-0.27139859213836814,-0.14502560699660205,0.25440663422546717,0.27139859213836814,0.14502560699660205,-0.10666119196244139,-4.707996331492481,0.21754172921752135,4.490454602274954,0.25,0.0,4
Ligue 1,2024-25,8261,2025-04-18,79,Rennes,home,30,stable,0.1960384678568995,0.11542701601409833,0.17078287697714156,0.1960384678568995,0.11542701601409833,0.17078287697714156,-0.16060097944327367,3.0771108269105785,-0.6165449486359331,-2.4605658782746453,0.25,0.0,4
Ligue 1,2024-25,8261,2025-04-18,95,Nantes,away,29,stable,0.1960384678568995,0.11542701601409833,0.17078287697714156,0.1960384678568995,0.11542701601409833,0.17078287697714156,-0.16060097944327367,3.0771108269105785,-0.6165449486359331,-2.4605658782746453,0.25,0.0,4
Ligue 1,2024-25,8262,2025-04-19,96,Paris SG,home,29,stable,-0.16377565085132506,0.39726112278882075,0.5908482638065324,0.16377565085132506,0.39726112278882075,0.5908482638065324,-0.2070431475791219,3.8264420458236414,-1.2068146993793674,-2.619627346444284,0.5,0.0,4
Ligue 1,2024-25,8262,2025-04-19,84,Le Havre,away,30,stable,-0.16377565085132506,0.39726112278882075,0.5908482638065324,0.16377565085132506,0.39726112278882075,0.5908482638065324,-0.2070431475791219,3.8264420458236414,-1.2068146993793674,-2.619627346444284,0.5,0.0,4
Ligue 1,2024-25,8263,2025-04-19,83,Monaco,home,30,stable,-0.18666765036160404,-0.20616229249503837,-0.08915432356681618,0.18666765036160404,0.20616229249503837,0.08915432356681618,-0.20852059667508538,-2.7141189709323,1.503090334422219,1.2110286365100724,0.25,0.25,4
Ligue 1,2024-25,8263,2025-04-19,94,Strasbourg,away,30,stable,-0.18666765036160404,-0.20616229249503837,-0.08915432356681618,0.18666765036160404,0.20616229249503837,0.08915432356681618,-0.20852059667508538,-2.7141189709323,1.503090334422219,1.2110286365100724,0.25,0.25,4
Ligue 1,2024-25,8264,2025-04-19,80,Marseille,home,30,stable,-1.1148934319171961,-0.5738608251919257,-0.3901556165717541,1.1148934319171961,0.5738608251919257,0.3901556165717541,-0.4454736364074976,-7.2117651294483,4.783173480484412,2.4285916489638746,0.5,0.5,4
Ligue 1,2024-25,8264,2025-04-19,104,Montpellier,away,30,stable,-1.1148934319171961,-0.5738608251919257,-0.3901556165717541,1.1148934319171961,0.5738608251919257,0.3901556165717541,-0.4454736364074976,-7.2117651294483,4.783173480484412,2.4285916489638746,0.5,0.5,4
Ligue 1,2024-25,8265,2025-04-20,88,Lille,home,30,stable,-0.3566167294952056,-0.46798987448296137,-0.290604333206131,0.3566167294952056,0.46798987448296137,0.290604333206131,-0.13699683980267086,-8.078694915585194,4.075745122100266,4.0029497934849045,0.25,0.0,4
Ligue 1,2024-25,8265,2025-04-20,91,Auxerre,away,31,stable,-0.3566167294952056,-0.46798987448296137,-0.290604333206131,0.3566167294952056,0.46798987448296137,0.290604333206131,-0.13699683980267086,-8.078694915585194,4.075745122100266,4.0029497934849045,0.25,0.0,4
Ligue 1,2024-25,8266,2025-04-20,87,Brest,home,30,stable,-0.2855145767006144,-0.09702357098550704,-0.19429399587211743,0.2855145767006144,0.09702357098550704,0.19429399587211743,-0.19227057428085947,-5.636032866441504,-0.2825354878250086,5.9185683542665295,0.25,0.25,4
