league,season,team_id,team,n_long_break,n_stable,dD_base_lb,dD_base_st,abs_dD_base_lb,abs_dD_base_st,dD_final_lb,dD_final_st,dP_dog_lb,dP_dog_st,mae_ah_lb,mae_ah_st,mae_tot_lb,mae_tot_st
Serie A,2025-26,65,Genoa,1,33,-0.32317434098318093,-0.0011804223159356901,0.32317434098318093,0.16506618597824674,-0.1739798768426266,0.08610288434680322,5.797706879478562,-0.18401335952713757,0.25,0.12878787878787878,0.25,0.13636363636363635
Serie A,2025-26,66,Inter,1,30,-0.008975809234021304,-0.0829895959683149,0.008975809234021304,0.2037416647206255,0.23799575303293286,0.10200773167616593,-3.116791888418184,-0.41030472268168094,0.25,0.18333333333333332,0.25,0.11666666666666667
Serie A,2025-26,67,Juventus,1,32,0.08231131651216383,-0.22131651732771962,0.08231131651216383,0.31184959987908695,0.1419754435688496,0.041613235207346,0.4735838851020274,-0.6718710617108876,0.0,0.1015625,0.5,0.2265625
Serie A,2025-26,68,Lazio,1,32,-0.2983987716727043,-0.002998489208806707,0.2983987716727043,0.2820089531462504,-0.43077452396806604,0.08212846878859274,10.97120646413321,-0.07638584434900783,0.5,0.1484375,0.0,0.1484375
Serie A,2025-26,69,Lecce,1,33,-0.32317434098318093,-0.027153810019077292,0.32317434098318093,0.19627507754075266,-0.1739798768426266,0.09925938889889648,5.797706879478562,-0.2168784347779565,0.25,0.15151515151515152,0.25,0.11363636363636363
Serie A,2025-26,70,Milan,1,32,-0.04830512020568678,-0.026920141242172173,0.04830512020568678,0.18748471068200454,0.07858836225438282,0.09326307963871305,0.8805895283671608,0.193104755633895,0.0,0.1171875,0.25,0.1640625
Serie A,2025-26,71,Napoli,1,32,-0.06604489041847161,-0.00013056615350511263,0.06604489041847161,0.18723277018927242,0.16927867924492657,0.024334449185143305,0.7820845377189162,1.5266426893318479,0.25,0.09375,0.25,0.1796875
Serie A,2025-26,72,Parma,1,33,0.08231131651216383,-0.09637266594203256,0.08231131651216383,0.20514187959739683,0.1419754435688496,0.025389478695916904,0.4735838851020274,1.571552795258883,0.0,0.13636363636363635,0.5,0.1893939393939394
Serie A,2025-26,74,Roma,1,31,0.0895869106032659,-0.10550367801011272,0.0895869106032659,0.2069602077023963,0.14572144589893188,0.06982029090234124,-1.9934081187203438,0.19471166168708512,0.25,0.12096774193548387,0.0,0.1693548387096774
Serie A,2025-26,75,Sassuolo,1,33,-0.06604489041847161,-0.0187917885125509,0.06604489041847161,0.23402789282381153,0.16927867924492657,0.04637840854387527,0.7820845377189162,0.9293891277110561,0.25,0.1590909090909091,0.25,0.16666666666666666
Serie A,2025-26,76,Torino,1,33,-0.008975809234021304,-0.11471640923871665,0.008975809234021304,0.24618087647777373,0.23799575303293286,0.04609558302706132,-3.116791888418184,-0.08317813210112796,0.25,0.08333333333333333,0.25,0.12878787878787878
Serie A,2025-26,77,Udinese,1,32,0.0295494177547998,0.0018727857168272116,0.0295494177547998,0.1630779933302692,0.023939337067684696,0.07630739103871677,2.148456161879084,0.014594339000983515,0.0,0.1015625,0.25,0.125
Serie A,2025-26,78,Verona,1,31,0.0295494177547998,-0.039307080420749305,0.0295494177547998,0.17537820671864102,0.023939337067684696,0.029599470339686417,2.148456161879084,1.0187541431205083,0.0,0.12096774193548387,0.25,0.12903225806451613
