series,arm,d_scale,s_scale,league,home,away,ah_mkt,tot_mkt,ah_pred,tot_pred,dah,dtot,abs_dah,abs_dtot,flip_ah,fav_mkt,fav_mod,o1,ox,o2,b1m,bxm,b2m,d1_odds,dx_odds,d2_odds,overround_pct,flip_1x2,d_base,d_dyn_full,d_corr_applied,d_final,d_market,s_base,s_corr_applied,s_final,days_since_home,days_since_away,days_since_min
BOTH,DECAY25,0.25,0.25,Bundesliga,FC Koln,Hoffenheim,0.25,3.0,0.25,3.0,0.0,0.0,0.0,0.0,False,A,A,2.98,3.67,2.27,3.1761278095720256,3.8354691283766336,2.114139971268614,0.19612780957202558,0.16546912837663363,-0.15586002873138582,4.8578668192588825,False,-0.22823884077216705,-0.611620929829295,-0.09584552226428197,-0.3560805486076487,-0.25,3.1722305517822287,0.055438158258407144,3.2276687100406356,97,98,97
BOTH,DECAY25,0.25,0.25,Bundesliga,Union Berlin,Ein Frankfurt,0.0,2.75,0.0,2.75,0.0,0.0,0.0,0.0,False,N,N,2.47,3.51,2.78,2.807797221193447,3.5336795933889706,2.43707114352873,0.3377972211934468,0.023679593388970854,-0.3429288564712696,4.947081471125392,True,0.03273656196232294,-0.3862372936052591,-0.10474346389189551,-0.11550109471774143,-0.0,2.797731138748441,0.09264377498041898,2.89037491372886,91,99,91
BOTH,DECAY25,0.25,0.25,Serie A,Udinese,Como,0.5,2.25,0.75,2.25,0.25,0.0,0.25,0.0,False,A,A,4.5,3.52,1.826,5.322695582025027,3.5417141099311733,1.713107974584967,0.8226955820250268,0.021714109931173287,-0.11289202541503296,5.395825727151027,False,-0.64762748104862,-1.061765176423683,-0.10353442384376577,-0.8149881268561464,-0.5,2.500582509240519,0.028585658667071856,2.5291681679075912,90,83,83
BOTH,DECAY25,0.25,0.25,Serie A,Genoa,Napoli,0.5,2.25,0.75,2.0,0.25,-0.25,0.25,0.25,False,A,A,4.98,3.24,1.84,6.183268712044948,3.304811279721821,1.6989248540663207,1.203268712044948,0.06481127972182099,-0.14107514593367942,5.292344902961288,False,-0.6442761461016218,-1.1155499626613707,-0.11781845413993725,-0.8268867462280727,-0.5,2.1307561802324626,0.03966027822860607,2.1704164584610686,83,90,83
BOTH,RESET,0.0,0.0,Premier League,Nott'm Forest,Leeds,-0.25,2.5,-0.25,2.25,0.0,-0.25,0.0,0.25,False,H,H,2.26,3.36,3.23,2.14389608747865,3.3297293629852067,3.5344528765077246,-0.11610391252134988,-0.030270637014793156,0.30445287650772457,4.969444694505665,False,0.34055758626343235,0.34055758626343235,0.0,0.3668658689096015,0.25,2.4673177077583075,0.0,2.4673177077583075,83,106,83
BOTH,RESET,0.0,0.0,Premier League,Everton,Crystal Palace,-0.25,2.5,-0.25,2.25,0.0,-0.25,0.0,0.25,False,H,H,2.15,3.41,3.42,2.189462553069897,3.3042923662464214,3.4317169726938768,0.03946255306989688,-0.10570763375357872,0.011716972693876837,5.076907185329027,False,0.21400298982738536,0.21400298982738536,0.0,0.32917364751542455,0.25,2.456262798183097,0.0,2.456262798183097,90,90,90
BOTH,RESET,0.0,0.0,Bundesliga,FC Koln,Hoffenheim,0.25,3.0,0.25,3.0,0.0,0.0,0.0,0.0,False,A,A,2.98,3.67,2.27,3.00269334362915,3.7674567355501396,2.2216629749701267,0.022693343629149876,0.09745673555013967,-0.04833702502987336,4.8578668192588825,False,-0.22823884077216705,-0.22823884077216705,0.0,-0.2609794285825803,-0.25,3.1722305517822287,0.0,3.1722305517822287,97,98,97
BOTH,RESET,0.0,0.0,Bundesliga,Union Berlin,Ein Frankfurt,0.0,2.75,0.0,2.75,0.0,0.0,0.0,0.0,False,N,N,2.47,3.51,2.78,2.46024752212775,3.465103590412797,2.821543151445051,-0.009752477872249976,-0.04489640958720287,0.04154315144505105,4.947081471125392,False,0.03273656196232294,0.03273656196232294,0.0,0.10936183328377813,-0.0,2.797731138748441,0.0,2.797731138748441,91,99,91
BOTH,RESET,0.0,0.0,Serie A,Udinese,Como,0.5,2.25,0.5,2.25,0.0,0.0,0.0,0.0,False,A,A,4.5,3.52,1.826,4.8689282231491315,3.43875782568099,1.7928486534809376,0.36892822314913154,-0.08124217431900993,-0.033151346519062486,5.395825727151027,False,-0.64762748104862,-0.64762748104862,0.0,-0.7174020082486142,-0.5,2.500582509240519,0.0,2.500582509240519,90,83,83
BOTH,RESET,0.0,0.0,Serie A,Genoa,Napoli,0.5,2.25,0.5,2.0,0.0,-0.25,0.0,0.25,False,A,A,4.98,3.24,1.84,5.469215849940793,3.170106011675977,1.802987494052316,0.48921584994079215,-0.06989398832402305,-0.037012505947684016,5.292344902961288,False,-0.6442761461016218,-0.6442761461016218,0.0,-0.7087625531732967,-0.5,2.1307561802324626,0.0,2.1307561802324626,83,90,83
