ts,event,id_fixture,fields
2026-07-15 22:09:19,ok id,1587775869,9
2026-07-15 22:09:33,start id_fixture,1587775866,
2026-07-15 22:09:34,ok id,1587775866,9
2026-07-15 22:10:16,start id_fixture,1587775867,
2026-07-15 22:10:17,ok id,1587775867,9
2026-07-15 22:10:46,start id_fixture,1588520369,
2026-07-15 22:10:47,ok id,1588520369,9
2026-07-15 22:11:30,start id_fixture,1588520364,
2026-07-15 22:11:31,ok id,1588520364,9
2026-07-15 22:11:43,start id_fixture,1588520372,
2026-07-15 22:11:43,ok id,1588520372,9
2026-07-15 22:11:58,start id_fixture,1588520366,
2026-07-15 22:11:59,ok id,1588520366,9
2026-07-15 22:12:11,start id_fixture,1588520370,
2026-07-15 22:12:12,ok id,1588520370,9
2026-07-15 22:12:56,start id_fixture,1588520367,
2026-07-15 22:12:57,ok id,1588520367,9
2026-07-15 22:13:13,start id_fixture,1588520368,
2026-07-15 22:13:14,ok id,1588520368,9
2026-07-15 22:13:27,start id_fixture,1588520363,
2026-07-15 22:13:28,ok id,1588520363,9
2026-07-15 22:13:41,start id_fixture,1588520365,
2026-07-15 22:13:43,ok id,1588520365,9
2026-07-15 22:14:14,start id_fixture,1588520371,
2026-07-15 22:14:15,ok id,1588520371,9
2026-07-15 22:14:48,start id_fixture,1589565941,
2026-07-15 22:14:48,ok id,1589565941,9
2026-07-15 22:15:31,start id_fixture,1589565942,
2026-07-15 22:15:32,ok id,1589565942,9
2026-07-15 22:15:45,start id_fixture,1589565943,
2026-07-15 22:15:47,ok id,1589565943,9
2026-07-15 22:16:01,start id_fixture,1589565945,
2026-07-15 22:16:02,ok id,1589565945,9
2026-07-15 22:16:13,start id_fixture,1589565936,
2026-07-15 22:16:14,ok id,1589565936,9
2026-07-15 22:17:07,start id_fixture,1589565940,
2026-07-15 22:17:08,ok id,1589565940,9
2026-07-15 22:17:33,start id_fixture,1589565937,
2026-07-15 22:17:34,ok id,1589565937,9
2026-07-15 22:17:47,start id_fixture,1589565938,
2026-07-15 22:17:48,ok id,1589565938,9
2026-07-15 22:17:58,start id_fixture,1589565934,
2026-07-15 22:17:59,ok id,1589565934,9
2026-07-15 22:18:39,start id_fixture,1589565935,
2026-07-15 22:18:40,ok id,1589565935,9
2026-07-15 22:19:15,start id_fixture,1589901298,
2026-07-15 22:19:16,ok id,1589901298,9
2026-07-15 22:21:19,start id_fixture,1589901263,
2026-07-15 22:21:20,ok id,1589901263,9
2026-07-15 22:21:36,start id_fixture,1589901290,
2026-07-15 22:21:37,ok id,1589901290,9
2026-07-15 22:21:55,start id_fixture,1589901265,
2026-07-15 22:21:56,ok id,1589901265,9
2026-07-15 22:22:08,start id_fixture,1589901266,
2026-07-15 22:22:09,ok id,1589901266,9
2026-07-15 22:22:55,start id_fixture,1589901267,
2026-07-15 22:22:56,ok id,1589901267,9
2026-07-15 22:23:09,start id_fixture,1589901297,
2026-07-15 22:23:10,ok id,1589901297,9
2026-07-15 22:23:24,start id_fixture,1589901283,
2026-07-15 22:23:25,ok id,1589901283,9
2026-07-15 22:23:56,start id_fixture,1589901292,
2026-07-15 22:23:57,ok id,1589901292,9
2026-07-15 22:24:16,start id_fixture,1589901285,
2026-07-15 22:24:17,ok id,1589901285,9
2026-07-15 22:24:53,start id_fixture,1590563842,
2026-07-15 22:24:54,ok id,1590563842,9
2026-07-15 22:25:33,start id_fixture,1590563848,
2026-07-15 22:25:34,ok id,1590563848,9
2026-07-15 22:25:45,start id_fixture,1590563831,
2026-07-15 22:25:47,ok id,1590563831,9
2026-07-15 22:26:01,start id_fixture,1590563855,
2026-07-15 22:26:02,ok id,1590563855,9
2026-07-15 22:26:15,start id_fixture,1590563860,
2026-07-15 22:26:16,ok id,1590563860,9
2026-07-15 22:27:20,start id_fixture,1590563829,
2026-07-15 22:27:22,ok id,1590563829,9
2026-07-15 22:27:33,start id_fixture,1590563856,
2026-07-15 22:27:34,ok id,1590563856,9
2026-07-15 22:27:49,start id_fixture,1590563837,
2026-07-15 22:27:50,ok id,1590563837,9
2026-07-15 22:28:02,start id_fixture,1590563809,
2026-07-15 22:28:03,ok id,1590563809,9
2026-07-15 22:28:35,start id_fixture,1590563808,
2026-07-15 22:28:36,ok id,1590563808,9
2026-07-15 22:29:13,start id_fixture,1590990958,
2026-07-15 22:29:14,ok id,1590990958,9
2026-07-15 22:29:27,start id_fixture,1590990441,
2026-07-15 22:29:28,ok id,1590990441,9
2026-07-15 22:29:38,start id_fixture,1590980980,
2026-07-15 22:29:39,ok id,1590980980,9
2026-07-15 22:30:17,start id_fixture,1591018819,
2026-07-15 22:30:18,ok id,1591018819,9
2026-07-15 22:30:29,start id_fixture,1591018806,
2026-07-15 22:30:30,ok id,1591018806,9
2026-07-15 22:30:44,start id_fixture,1591018814,
2026-07-15 22:30:45,ok id,1591018814,9
2026-07-15 22:30:57,start id_fixture,1591018807,
2026-07-15 22:30:58,ok id,1591018807,9
2026-07-15 22:54:34,start id_fixture,1591018815,
2026-07-15 22:54:35,ok id,1591018815,9
2026-07-15 22:54:52,start id_fixture,1591018809,
2026-07-15 22:54:53,ok id,1591018809,9
2026-07-15 22:55:06,start id_fixture,1591018812,
2026-07-15 22:55:07,ok id,1591018812,9
2026-07-15 22:55:51,start id_fixture,1591328396,
