n,mae_ah,mae_tot,n_ah_ge_05,n_tot_ge_05,flip_ah_n,flip_ah_rate,flip_1x2_n,flip_1x2_rate,mae_odds_1,mae_odds_x,mae_odds_2,n_1x2,league,season,bucket,arm,harm_D_n,harm_D_mean,harm_D_pct_pos,harm_D_pct_neg,harm_S_n,harm_S_mean,harm_S_pct_pos,harm_S_pct_neg
18,0.20833333333333334,0.16666666666666666,3,2,4,0.2222222222222222,3,0.16666666666666666,0.3699582573871438,0.19973194994693003,0.5921568747098219,18,Ligue 1,2024-25,GW5-6,D_BASE,,,,,,,,
18,,,,,,,,,,,,,Ligue 1,2024-25,GW5-6,HARM,18,0.013888888888888888,0.3333333333333333,0.2222222222222222,18,0.013888888888888888,0.2222222222222222,0.16666666666666666
18,0.2361111111111111,0.1388888888888889,4,1,5,0.2777777777777778,2,0.1111111111111111,0.42973969840377435,0.2813318853859895,0.6097455008290681,18,Ligue 1,2024-25,GW7-8,A_FULL,18,0.027777777777777776,0.3333333333333333,0.2777777777777778,18,-0.05555555555555555,0.1111111111111111,0.3333333333333333
18,0.20833333333333334,0.1388888888888889,3,1,3,0.16666666666666666,2,0.1111111111111111,0.4618182391919468,0.2995293945722817,0.5299452998234809,18,Ligue 1,2024-25,GW7-8,B,,,,,,,,
18,0.2361111111111111,0.19444444444444445,4,2,5,0.2777777777777778,2,0.1111111111111111,0.4427536926201995,0.2873869797992515,0.7022151774956148,18,Ligue 1,2024-25,GW7-8,C,,,,,,,,
18,0.20833333333333334,0.19444444444444445,3,2,3,0.16666666666666666,2,0.1111111111111111,0.4345201567058189,0.3165318277187769,0.6012313748709732,18,Ligue 1,2024-25,GW7-8,D_BASE,,,,,,,,
18,,,,,,,,,,,,,Ligue 1,2024-25,GW7-8,HARM,18,0.027777777777777776,0.3333333333333333,0.2777777777777778,18,-0.05555555555555555,0.1111111111111111,0.3333333333333333
18,0.3472222222222222,0.2222222222222222,7,4,5,0.2777777777777778,5,0.2777777777777778,0.8029979650692011,0.7785441947464755,1.406214675661165,18,Ligue 1,2025-26,GW1-2,A_FULL,18,0.05555555555555555,0.4444444444444444,0.3888888888888889,18,0.05555555555555555,0.4444444444444444,0.3333333333333333
18,0.2916666666666667,0.2222222222222222,6,4,5,0.2777777777777778,3,0.16666666666666666,0.6167279383104294,0.7446728385093865,1.4992169685222103,18,Ligue 1,2025-26,GW1-2,B,,,,,,,,
18,0.3611111111111111,0.16666666666666666,7,0,5,0.2777777777777778,5,0.2777777777777778,0.818941016348671,0.6097588898943821,2.6166659420848126,18,Ligue 1,2025-26,GW1-2,C,,,,,,,,
18,0.2916666666666667,0.16666666666666666,6,0,5,0.2777777777777778,3,0.16666666666666666,0.6031253014845076,0.6327843184134476,1.3119097182281223,18,Ligue 1,2025-26,GW1-2,D_BASE,,,,,,,,
18,,,,,,,,,,,,,Ligue 1,2025-26,GW1-2,HARM,18,0.05555555555555555,0.4444444444444444,0.3888888888888889,18,0.05555555555555555,0.4444444444444444,0.3333333333333333
18,0.2777777777777778,0.125,6,2,4,0.2222222222222222,3,0.16666666666666666,0.4685179746392368,0.34005571656657546,1.0115244804608827,18,Ligue 1,2025-26,GW3-4,A_FULL,18,0.06944444444444445,0.3333333333333333,0.2777777777777778,18,-0.013888888888888888,0.2777777777777778,0.3888888888888889
18,0.20833333333333334,0.125,2,2,3,0.16666666666666666,2,0.1111111111111111,0.4181312030164471,0.2932388612416981,0.42379935947545344,18,Ligue 1,2025-26,GW3-4,B,,,,,,,,
18,0.2777777777777778,0.1388888888888889,6,1,4,0.2222222222222222,3,0.16666666666666666,0.5676581152954802,0.2990880289360817,1.2397762568173898,18,Ligue 1,2025-26,GW3-4,C,,,,,,,,
18,0.20833333333333334,0.1388888888888889,2,1,3,0.16666666666666666,2,0.1111111111111111,0.4094974513121249,0.2662831941893395,0.4560347691439538,18,Ligue 1,2025-26,GW3-4,D_BASE,,,,,,,,
18,,,,,,,,,,,,,Ligue 1,2025-26,GW3-4,HARM,18,0.06944444444444445,0.3333333333333333,0.2777777777777778,18,-0.013888888888888888,0.2777777777777778,0.3888888888888889
18,0.18055555555555555,0.19444444444444445,5,2,1,0.05555555555555555,1,0.05555555555555555,0.3132217993729742,0.3727271808900088,1.0323538124719762,18,Ligue 1,2025-26,GW5-6,A_FULL,18,0.041666666666666664,0.3333333333333333,0.2222222222222222,18,0.027777777777777776,0.2222222222222222,0.1111111111111111
18,0.1388888888888889,0.19444444444444445,2,2,1,0.05555555555555555,1,0.05555555555555555,0.2603603125549198,0.22617390128445328,0.4145787634692881,18,Ligue 1,2025-26,GW5-6,B,,,,,,,,
18,0.18055555555555555,0.16666666666666666,5,3,1,0.05555555555555555,1,0.05555555555555555,0.3319169818861345,0.3379505070786915,1.2461819391595426,18,Ligue 1,2025-26,GW5-6,C,,,,,,,,
18,0.1388888888888889,0.16666666666666666,2,3,1,0.05555555555555555,1,0.05555555555555555,0.26850809748221205,0.20147461650122445,0.5264918559800692,18,Ligue 1,2025-26,GW5-6,D_BASE,,,,,,,,
18,,,,,,,,,,,,,Ligue 1,2025-26,GW5-6,HARM,18,0.041666666666666664,0.3333333333333333,0.2222222222222222,18,0.027777777777777776,0.2222222222222222,0.1111111111111111
18,0.19444444444444445,0.08333333333333333,2,0,2,0.1111111111111111,2,0.1111111111111111,0.28921221671876646,0.3122672053362088,0.632387228234061,18,Ligue 1,2025-26,GW7-8,A_FULL,18,0.027777777777777776,0.3333333333333333,0.2222222222222222,18,-0.05555555555555555,0.16666666666666666,0.3888888888888889
18,0.16666666666666666,0.08333333333333333,2,0,1,0.05555555555555555,0,0.0,0.26745019905180073,0.33377309145942596,0.5338507625522024,18,Ligue 1,2025-26,GW7-8,B,,,,,,,,
18,0.19444444444444445,0.1388888888888889,2,0,2,0.1111111111111111,2,0.1111111111111111,0.29593950503282557,0.2669966550469627,0.674565812078891,18,Ligue 1,2025-26,GW7-8,C,,,,,,,,
18,0.16666666666666666,0.1388888888888889,2,0,1,0.05555555555555555,0,0.0,0.3031349563487082,0.29908015918122555,0.5673535402172435,18,Ligue 1,2025-26,GW7-8,D_BASE,,,,,,,,
18,,,,,,,,,,,,,Ligue 1,2025-26,GW7-8,HARM,18,0.027777777777777776,0.3333333333333333,0.2222222222222222,18,-0.05555555555555555,0.16666666666666666,0.3888888888888889
