mode,league,home,away,ah_mkt,tot_mkt,ah_pred,tot_pred,dah,dtot,o1,ox,o2,p1,px,p2,b1m,bxm,b2m,d1,dx,d2,overround_pct,lh,la,m1,mx,m2,dp1_pp,dpx_pp,dp2_pp
base,Serie A,Genoa,Napoli,0.5,2.25,0.75,2.25,0.25,0.0,4.98,3.24,1.84,0.1750956446572167,0.27992217903972905,0.5449821763030541,5.424102136452369,3.3928596280822707,1.742693066975797,0.4441021364523685,0.1528596280822705,-0.09730693302420312,5.292344902961288,0.76903820807006,1.5394139268309628,0.17952033125128242,0.28974249385467904,0.5307371748940385,-0.44246865940657243,-0.9820314814949993,1.4245001409015634
base,Serie A,Torino,Milan,0.75,2.5,0.5,2.25,-0.25,-0.25,4.42,3.71,1.793,0.19792082144554493,0.273808176474482,0.5282710020799731,4.79589429857681,3.4666873406126735,1.7968189346055197,0.3758942985768101,-0.2433126593873265,0.0038189346055197415,5.351060697199617,0.8898607810893201,1.5965139358295382,0.20525118375134918,0.24950812676248738,0.5452406894861636,-0.733036230580425,2.4300049711994647,-1.6969687406190426
base,Serie A,Atalanta,Sassuolo,-1.0,2.75,-1.25,3.0,-0.25,0.25,1.529,4.38,5.76,0.6612864621161675,0.20624735318890647,0.132466184694926,1.4320874634037342,4.591671298917351,7.149145680433013,-0.09691253659626575,0.21167129891735126,1.3891456804330131,5.594385015026582,2.2085334063379025,0.9053466368187866,0.6435873761138187,0.2060773573834687,0.15033526650271273,1.7699086002348818,0.016999580543777815,-1.7869081807786735
base,Serie A,Bologna,Lazio,-0.25,2.25,-0.25,2.25,0.0,0.0,2.15,3.23,3.62,0.43342838651895516,0.29937198753020605,0.2671996259508388,2.19531954795039,3.178366210584929,3.5610596615757446,0.04531954795039006,-0.05163378941507091,-0.0589403384242555,5.095689621223354,1.3514465990437572,1.0093966931061646,0.45094806956767397,0.29158611173212357,0.2574658187002026,-1.7519683048718815,0.7785875798082487,0.9733807250636217
base,Serie A,Roma,Fiorentina,-1.0,2.5,-0.5,2.25,0.5,-0.25,1.568,4.1,5.74,0.5250201765734712,0.2726462886015297,0.20233353482499905,1.8038984596422822,3.4736694662517777,4.680801373935113,0.23589845964228218,-0.6263305337482219,-1.0591986260648873,5.587356893977091,1.607184856968818,0.9134758246473479,0.6268761941099358,0.22209541030378216,0.15102839558628212,-10.185601753646456,5.0550878297747515,5.1305139238716935
base,Ligue 1,Marseille,Strasbourg,-0.75,3.0,-1.0,2.75,-0.25,-0.25,1.757,4.06,4.19,0.5988979138710891,0.22573445413352308,0.1753676319953876,1.5840058793180907,4.2025388650773206,5.409537700253007,-0.17299412068190922,0.14253886507732094,1.2195377002530066,5.4120866780359655,2.0051884652796113,1.0029450505785842,0.5568287384319701,0.22549105380525275,0.21768020776277705,4.206917543911903,0.02434003282703323,-4.231257576738945
base,Ligue 1,Lens,Auxerre,-1.0,2.75,-1.25,2.75,-0.25,0.0,1.602,4.25,5.1,0.6540285069511826,0.21182825422179002,0.13414323882702725,1.4484620421687413,4.472186537605113,7.062118636009951,-0.1535379578312588,0.2221865376051131,1.9621186360099516,5.559227436292868,2.0811603088293675,0.8403518872280474,0.6130454108420815,0.21348819842538308,0.17346639073253534,4.098309610910111,-0.16599442035930556,-3.9323151905508085
base,Ligue 1,Toulouse,Lyon,0.25,2.75,0.25,2.5,0.0,-0.25,3.35,3.64,2.09,0.31946425836490194,0.272494334133026,0.40804140750207196,2.9763580428090695,3.4893937072109193,2.3302537372253873,-0.37364195719093063,-0.15060629278908078,0.24025373722538745,5.170163693337293,1.2700993004400711,1.4636416052528805,0.2799537133962946,0.2556227447606166,0.4644235418430889,3.951054496860734,1.6871589372409401,-5.638213434101696
base,Ligue 1,Nice,Lorient,-0.25,2.75,-0.75,2.5,-0.5,-0.25,2.19,3.51,3.23,0.5680326523652404,0.24755965700227092,0.18440769063248894,1.6748460365489524,3.842981719899477,5.159043167783697,-0.5151539634510476,0.3329817198994771,1.9290431677836968,5.111881268630913,1.7786460374188393,0.9206077425363969,0.44219567263149934,0.26626771686850115,0.29153661049999957,12.583697973374102,-1.8708059866230227,-10.712891986751064
base,Ligue 1,Angers,Lille,0.75,2.5,0.75,2.25,0.0,-0.25,5.0,3.81,1.689,0.16178984035145333,0.2504032986332663,0.5878068610152806,5.861224705206407,3.7870372095543865,1.6132622332468607,0.861224705206407,-0.022962790445613557,-0.07573776675313937,5.45335030279297,0.7977040531889275,1.7300294728335535,0.17797547180284545,0.24178019262215095,0.5802443355750037,-1.6185631451392124,0.8623106011115378,0.7562525440276913
base,Ligue 1,Le Havre,Monaco,0.5,3.0,0.75,2.75,0.25,-0.25,3.51,3.98,1.934,0.188173931457942,0.23337575228945717,0.5784503162526009,5.04570190279298,4.068415654578123,1.6414021002950827,1.5357019027929804,0.08841565457812317,-0.29259789970491723,5.3219648003286935,1.0224940401176248,1.932953701563606,0.26541315615486066,0.23099574020879368,0.5035911036363457,-7.723922469691866,0.23800120806634906,7.485921261625517
base,Ligue 1,Paris SG,Rennes,-1.25,3.5,-1.5,3.25,-0.25,-0.25,1.409,5.34,6.24,0.7294391406625382,0.16835336957378377,0.10220748976367776,1.2966867609134285,5.6182663820972385,9.254254054924619,-0.11231323908657154,0.27826638209723864,3.014254054924619,5.724553580830638,2.5444746013788095,0.8764653594007727,0.7006191271807205,0.16340247020214307,0.1359784026171365,2.882001348181773,0.4950899371640699,-3.377091285345875
